madvhc,ten,cap,captren
01,Thành phố Hà Nội,TINH,
02,Tỉnh Hà Giang,TINH,
04,Tỉnh Cao Bằng,TINH,
06,Tỉnh Bắc Kạn,TINH,
08,Tỉnh Tuyên Quang,TINH,
10,Tỉnh Lào Cai,TINH,
11,Tỉnh Điện Biên,TINH,
12,Tỉnh Lai Châu,TINH,
14,Tỉnh Sơn La,TINH,
15,Tỉnh Yên Bái,TINH,
17,Tỉnh Hoà Bình,TINH,
19,Tỉnh Thái Nguyên,TINH,
20,Tỉnh Lạng Sơn,TINH,
22,Tỉnh Quảng Ninh,TINH,
24,Tỉnh Bắc Giang,TINH,
25,Tỉnh Phú Thọ,TINH,
26,Tỉnh Vĩnh Phúc,TINH,
27,Tỉnh Bắc Ninh,TINH,
30,Tỉnh Hải Dương,TINH,
31,Thành phố Hải Phòng,TINH,
33,Tỉnh Hưng Yên,TINH,
34,Tỉnh Thái Bình,TINH,
35,Tỉnh Hà Nam,TINH,
36,Tỉnh Nam Định,TINH,
37,Tỉnh Ninh Bình,TINH,
38,Tỉnh Thanh Hóa,TINH,
40,Tỉnh Nghệ An,TINH,
42,Tỉnh Hà Tĩnh,TINH,
44,Tỉnh Quảng Bình,TINH,
45,Tỉnh Quảng Trị,TINH,
46,Tỉnh Thừa Thiên Huế,TINH,
48,Thành phố Đà Nẵng,TINH,
49,Tỉnh Quảng Nam,TINH,
51,Tỉnh Quảng Ngãi,TINH,
52,Tỉnh Bình Định,TINH,
54,Tỉnh Phú Yên,TINH,
56,Tỉnh Khánh Hòa,TINH,
58,Tỉnh Ninh Thuận,TINH,
60,Tỉnh Bình Thuận,TINH,
62,Tỉnh Kon Tum,TINH,
64,Tỉnh Gia Lai,TINH,
66,Tỉnh Đắk Lắk,TINH,
67,Tỉnh Đắk Nông,TINH,
68,Tỉnh Lâm Đồng,TINH,
70,Tỉnh Bình Phước,TINH,
72,Tỉnh Tây Ninh,TINH,
74,Tỉnh Bình Dương,TINH,
75,Tỉnh Đồng Nai,TINH,
77,Tỉnh Bà Rịa - Vũng Tàu,TINH,
79,Thành phố Hồ Chí Minh,TINH,
80,Tỉnh Long An,TINH,
82,Tỉnh Tiền Giang,TINH,
83,Tỉnh Bến Tre,TINH,
84,Tỉnh Trà Vinh,TINH,
86,Tỉnh Vĩnh Long,TINH,
87,Tỉnh Đồng Tháp,TINH,
89,Tỉnh An Giang,TINH,
91,Tỉnh Kiên Giang,TINH,
92,Thành phố Cần Thơ,TINH,
93,Tỉnh Hậu Giang,TINH,
94,Tỉnh Sóc Trăng,TINH,
95,Tỉnh Bạc Liêu,TINH,
96,Tỉnh Cà Mau,TINH,
001,Quận Ba Đình,HUYEN,01
002,Quận Hoàn Kiếm,HUYEN,01
003,Quận Tây Hồ,HUYEN,01
004,Quận Long Biên,HUYEN,01
005,Quận Cầu Giấy,HUYEN,01
006,Quận Đống Đa,HUYEN,01
007,Quận Hai Bà Trưng,HUYEN,01
008,Quận Hoàng Mai,HUYEN,01
009,Quận Thanh Xuân,HUYEN,01
016,Huyện Sóc Sơn,HUYEN,01
017,Huyện Đông Anh,HUYEN,01
018,Huyện Gia Lâm,HUYEN,01
019,Quận Nam Từ Liêm,HUYEN,01
020,Huyện Thanh Trì,HUYEN,01
021,Quận Bắc Từ Liêm,HUYEN,01
250,Huyện Mê Linh,HUYEN,01
268,Quận Hà Đông,HUYEN,01
269,Thị xã Sơn Tây,HUYEN,01
271,Huyện Ba Vì,HUYEN,01
272,Huyện Phúc Thọ,HUYEN,01
273,Huyện Đan Phượng,HUYEN,01
274,Huyện Hoài Đức,HUYEN,01
275,Huyện Quốc Oai,HUYEN,01
276,Huyện Thạch Thất,HUYEN,01
277,Huyện Chương Mỹ,HUYEN,01
278,Huyện Thanh Oai,HUYEN,01
